,log_cost_t,log_cost_avoidable_t,gagne_sum_t,our_gagne_score,TOTAL
black,160.0,197.0,215.0,191.0,1825.0
black %,8.767123287671232,10.794520547945204,11.78082191780822,10.465753424657533,
white,726.0,689.0,671.0,695.0,14274.0
white %,5.086170659941152,4.82695810564663,4.700854700854701,4.868992573910607,
